t, Obs_Wetland outflow (m3/day)_expression
40181.72000,0
40181.73000,0
40181.74000,0
40181.75000,0
40181.76000,0
40181.77000,0
40181.78000,0
40181.79000,0
40181.80000,0
40181.81000,0
40181.82000,0
40181.83000,0
40181.84000,0
40181.85000,0
40181.86000,0
40181.87000,0
40181.88000,0
40181.89000,0
40181.90000,0
40181.91000,0
40181.92000,0
40181.93000,0
40181.94000,0
40181.95000,0
40181.96000,0
40181.97000,0
40181.98000,0
40181.99000,0
40182.00000,0
40182.01000,0
40182.02000,0
40182.03000,0
40182.04000,0
40182.05000,0
40182.06000,0
40182.07000,0
40182.08000,0
40182.09000,0
40182.10000,0
40182.11000,0
40182.12000,0
40182.13000,0
40182.14000,0
40182.15000,0
40182.16000,0
40182.17000,0
40182.18000,0
40182.19000,0
40182.20000,0
40182.21000,0
40182.22000,0
40182.23000,0
40182.24000,0
40182.25000,0
40182.26000,0
40182.27000,0
40182.28000,0
40182.29000,0
40182.30000,0
40182.31000,0
40182.32000,0
40182.33000,0
40182.34000,0
40182.35000,0
40182.36000,0
40182.37000,0
40182.38000,0
40182.39000,0
40182.40000,0
40182.41000,0
40182.42000,0
40182.43000,0
40182.44000,0
40182.45000,0
40182.46000,0
40182.47000,0
40182.48000,0
40182.49000,0
40182.50000,0
40182.51000,0
40182.52000,0
40182.53000,0
40182.54000,0
40182.55000,0
40182.56000,0
40182.57000,0
40182.58000,0
40182.59000,0
40182.60000,0
40182.61000,0
40182.62000,0
40182.63000,0
40182.64000,0
40182.65000,0
40182.66000,0
40182.67000,0
40182.68000,0
40182.69000,0
40182.70000,0
40182.71000,0
40182.72000,0
40182.73000,0
40182.74000,0
40182.75000,0
40182.76000,0
40182.77000,0
40182.78000,0
40182.79000,0
40182.80000,0
40182.81000,0
40182.82000,0
40182.83000,0
40182.84000,0
40182.85000,0
40182.86000,0
40182.87000,0
40182.88000,0
40182.89000,0
40182.90000,0
40182.91000,0
40182.92000,0
40182.93000,0
40182.94000,0
40182.95000,0
40182.96000,0
40182.97000,0
40182.98000,0
40182.99000,0
40183.00000,0
40183.01000,0
40183.02000,0
40183.03000,0
40183.04000,0
40183.05000,0
40183.06000,0
40183.07000,0
40183.08000,0
40183.09000,0
40183.10000,0
40183.11000,0
40183.12000,0
40183.13000,0
40183.14000,0
40183.15000,0
40183.16000,0
40183.17000,0
40183.18000,0
40183.19000,0
40183.20000,0
40183.21000,0
40183.22000,0
40183.23000,0
40183.24000,0
40183.25000,0
40183.26000,0
40183.27000,0
40183.28000,0
40183.29000,0
40183.30000,0
40183.31000,0
40183.32000,0
40183.33000,0
40183.34000,0
40183.35000,0
40183.36000,0
40183.37000,0
40183.38000,0
40183.39000,0
40183.40000,0
40183.41000,0
40183.42000,0
40183.43000,0
40183.44000,0
40183.45000,0
40183.46000,0
40183.47000,0
40183.48000,0
40183.49000,0
40183.50000,0
40183.51000,0
40183.52000,0
40183.53000,0
40183.54000,0
40183.55000,0
40183.56000,0
40183.57000,0
40183.58000,0
40183.59000,0
40183.60000,0
40183.61000,0
40183.62000,0
40183.63000,0
40183.64000,0
40183.65000,0
40183.66000,0
40183.67000,0
40183.68000,0
40183.69000,0
40183.70000,0
40183.71000,0
40183.72000,0
40183.73000,0
40183.74000,0
40183.75000,0
40183.76000,0
40183.77000,0
40183.78000,0
40183.79000,0
40183.80000,0
40183.81000,0
40183.82000,0
40183.83000,0
40183.84000,0
40183.85000,0
40183.86000,0
40183.87000,0
40183.88000,0
40183.89000,0
40183.90000,0
40183.91000,0
40183.92000,0
40183.93000,0
40183.94000,0
40183.95000,0
40183.96000,0
40183.97000,0
40183.98000,0
40183.99000,0
40184.00000,0
40184.01000,0
40184.02000,0
40184.03000,0
40184.04000,0
40184.05000,0
40184.06000,0
40184.07000,0
40184.08000,0
40184.09000,0
40184.10000,0
40184.11000,0
40184.12000,0
40184.13000,0
40184.14000,0
40184.15000,0
40184.16000,0
40184.17000,0
40184.18000,0
40184.19000,0
40184.20000,0
40184.21000,0
40184.22000,0
40184.23000,0
40184.24000,0
40184.25000,0
40184.26000,0
40184.27000,0
40184.28000,0
40184.29000,0
40184.30000,0
40184.31000,0
40184.32000,0
40184.33000,0
40184.34000,0
40184.35000,0
40184.36000,0
40184.37000,0
40184.38000,0
40184.39000,0
40184.40000,0
40184.41000,0
40184.42000,0
40184.43000,0
40184.44000,0
40184.45000,0
40184.46000,0
40184.47000,0
40184.48000,0
40184.49000,0
40184.50000,0
40184.51000,0
40184.52000,0
40184.53000,0
40184.54000,0
40184.55000,0
40184.56000,0
40184.57000,0
40184.58000,0
40184.59000,0
40184.60000,0
40184.61000,0
40184.62000,0
40184.63000,0
40184.64000,0
40184.65000,0
40184.66000,0
40184.67000,0
40184.68000,0
40184.69000,0
40184.70000,0
40184.71000,0
40184.72000,0
40184.73000,0
40184.74000,0
40184.75000,0
40184.76000,0
40184.77000,0
40184.78000,0
40184.79000,0
40184.80000,0
40184.81000,0
40184.82000,0
40184.83000,0
40184.84000,0
40184.85000,0
40184.86000,0
40184.87000,0
40184.88000,0
40184.89000,0
40184.90000,0
40184.91000,0
40184.92000,0
40184.93000,0
40184.94000,0
40184.95000,0
40184.96000,0
40184.97000,0
40184.98000,0
40184.99000,0
40185.00000,0
40185.01000,0
40185.02000,0
40185.03000,0
40185.04000,0
40185.05000,0
40185.06000,0
40185.07000,0
40185.08000,0
40185.09000,0
40185.10000,0
40185.11000,0
40185.12000,0
40185.13000,0
40185.14000,0
40185.15000,0
40185.16000,0
40185.17000,0
40185.18000,0
40185.19000,0
40185.20000,0
40185.21000,0
40185.22000,0
40185.23000,0
40185.24000,0
40185.25000,0
40185.26000,0
40185.27000,0
40185.28000,0
40185.29000,0
40185.30000,0
40185.31000,0
40185.32000,0
40185.33000,0
40185.34000,0
40185.35000,0
40185.36000,0
40185.37000,0
40185.38000,0
40185.39000,0
40185.40000,0
40185.41000,0
40185.42000,0
40185.43000,0
40185.44000,0
40185.45000,0
40185.46000,0
40185.47000,0
40185.48000,0
40185.49000,0
40185.50000,0
40185.51000,0
40185.52000,0
40185.53000,0
40185.54000,0
40185.55000,0
40185.56000,0
40185.57000,0
40185.58000,0
40185.59000,0
40185.60000,0
40185.61000,0
40185.62000,0
40185.63000,0
40185.64000,0
40185.65000,0
40185.66000,0
40185.67000,0
40185.68000,0
40185.69000,0
40185.70000,0
40185.71000,0
40185.72000,0
40185.73000,0
40185.74000,0
40185.75000,0
40185.76000,0
40185.77000,0
40185.78000,0
40185.79000,0
40185.80000,0
40185.81000,0
40185.82000,0
40185.83000,0
40185.84000,0
40185.85000,0
40185.86000,0
40185.87000,0
40185.88000,0
40185.89000,0
40185.90000,0
40185.91000,0
40185.92000,0
40185.93000,0
40185.94000,0
40185.95000,0
40185.96000,0
40185.97000,0
40185.98000,0
40185.99000,0
40186.00000,0
40186.01000,0
40186.02000,0
40186.03000,0
40186.04000,0
40186.05000,0
40186.06000,0
40186.07000,0
40186.08000,0
40186.09000,0
40186.10000,0
40186.11000,0
40186.12000,0
40186.13000,0
40186.14000,0
40186.15000,0
40186.16000,0
40186.17000,0
40186.18000,0
40186.19000,0
40186.20000,0
40186.21000,0
40186.22000,0
40186.23000,0
40186.24000,0
40186.25000,0
40186.26000,0
40186.27000,0
40186.28000,0
40186.29000,0
40186.30000,0
40186.31000,0
40186.32000,0
40186.33000,0
40186.34000,0
40186.35000,0
40186.36000,0
40186.37000,0
40186.38000,0
40186.39000,0
40186.40000,0
40186.41000,0
40186.42000,0
40186.43000,0
40186.44000,0
40186.45000,0
40186.46000,0
40186.47000,0
40186.48000,0
40186.49000,0
40186.50000,0
40186.51000,0
40186.52000,0
40186.53000,0
40186.54000,0
40186.55000,0
40186.56000,0
40186.57000,0
40186.58000,0
40186.59000,0
40186.60000,0
40186.61000,0
40186.62000,0
40186.63000,0
40186.64000,0
40186.65000,0
40186.66000,0
40186.67000,0
40186.68000,0
40186.69000,0
40186.70000,0
40186.71000,0
40186.72000,0
40186.73000,0
40186.74000,0
40186.75000,0
40186.76000,0
40186.77000,0
40186.78000,0
40186.79000,0
40186.80000,0
40186.81000,0
40186.82000,0
40186.83000,0
40186.84000,0
40186.85000,0
40186.86000,0
40186.87000,0
40186.88000,0
40186.89000,0
40186.90000,0
40186.91000,0
40186.92000,0
40186.93000,0
40186.94000,0
40186.95000,0
40186.96000,0
40186.97000,0
40186.98000,0
40186.99000,0
40187.00000,0
40187.01000,0
40187.02000,0
40187.03000,0
40187.04000,0
40187.05000,0
40187.06000,0
40187.07000,0
40187.08000,0
40187.09000,0
40187.10000,0
40187.11000,0
40187.12000,0
40187.13000,0
40187.14000,0
40187.15000,0
40187.16000,0
40187.17000,0
40187.18000,0
40187.19000,0
40187.20000,0
40187.21000,0
40187.22000,0
40187.23000,0
40187.24000,0
40187.25000,0
40187.26000,0
40187.27000,0
40187.28000,0
40187.29000,0
40187.30000,0
40187.31000,0
40187.32000,0
40187.33000,0
40187.34000,0
40187.35000,0
40187.36000,0
40187.37000,0
40187.38000,0
40187.39000,0
40187.40000,0
40187.41000,0
40187.42000,0
40187.43000,0
40187.44000,0
40187.45000,0
40187.46000,0
40187.47000,0
40187.48000,0
40187.49000,0
40187.50000,0
40187.51000,0
40187.52000,0
40187.53000,0
40187.54000,0
40187.55000,0
40187.56000,0
40187.57000,0
40187.58000,0
40187.59000,0
40187.60000,0
40187.61000,0
40187.62000,0
40187.63000,0
40187.64000,0
40187.65000,0
40187.66000,0
40187.67000,0
40187.68000,0
40187.69000,0
40187.70000,0
40187.71000,0
40187.72000,0
40187.73000,0
40187.74000,0
40187.75000,0
40187.76000,0
40187.77000,0
40187.78000,0
40187.79000,0
40187.80000,0
40187.81000,0
40187.82000,0
40187.83000,0
40187.84000,0
40187.85000,0
40187.86000,0
40187.87000,0
40187.88000,0
40187.89000,0
40187.90000,0
40187.91000,0
40187.92000,0
40187.93000,0
40187.94000,0
40187.95000,0
40187.96000,0
40187.97000,0
40187.98000,0
40187.99000,0
40188.00000,0
40188.01000,0
40188.02000,0
40188.03000,0
40188.04000,0
40188.05000,0
40188.06000,0
40188.07000,0
40188.08000,0
40188.09000,0
40188.10000,0
40188.11000,0
40188.12000,0
40188.13000,0
40188.14000,0
40188.15000,0
40188.16000,0
40188.17000,0
40188.18000,0
40188.19000,0
40188.20000,0
40188.21000,0
40188.22000,0
40188.23000,0
40188.24000,0
40188.25000,0
40188.26000,0
40188.27000,0
40188.28000,0
40188.29000,0
40188.30000,0
40188.31000,0
40188.32000,0
40188.33000,0
40188.34000,0
40188.35000,0
40188.36000,0
40188.37000,0
40188.38000,0
40188.39000,0
40188.40000,0
40188.41000,0
40188.42000,0
40188.43000,0
40188.44000,0
40188.45000,0
40188.46000,0
40188.47000,0
40188.48000,0
40188.49000,0
40188.50000,0
40188.51000,0
40188.52000,0
40188.53000,0
40188.54000,0
40188.55000,0
40188.56000,0
40188.57000,0
40188.58000,0
40188.59000,0
40188.60000,0
40188.61000,0
40188.62000,0
40188.63000,0
40188.64000,0
40188.65000,0
40188.66000,0
40188.67000,0
40188.68000,0
40188.69000,0
40188.70000,0
40188.71000,0
40188.72000,0
40188.73000,0
40188.74000,0
40188.75000,0
40188.76000,0
40188.77000,0
40188.78000,0
40188.79000,0
40188.80000,0
40188.81000,0
40188.82000,0
40188.83000,0
40188.84000,0
40188.85000,0
40188.86000,0
40188.87000,0
40188.88000,0
40188.89000,0
40188.90000,0
40188.91000,0
40188.92000,0
40188.93000,0
40188.94000,0
40188.95000,0
40188.96000,0
40188.97000,0
40188.98000,0
40188.99000,0
40189.00000,0
40189.01000,0
40189.02000,0
40189.03000,0
40189.04000,0
40189.05000,0
40189.06000,0
40189.07000,0
40189.08000,0
40189.09000,0
40189.10000,0
40189.11000,0
40189.12000,0
40189.13000,0
40189.14000,0
40189.15000,0
40189.16000,0
40189.17000,0
40189.18000,0
40189.19000,0
40189.20000,0
40189.21000,0
40189.22000,0
40189.23000,0
40189.24000,0
40189.25000,0
40189.26000,0
40189.27000,0
40189.28000,0
40189.29000,0
40189.30000,0
40189.31000,0
40189.32000,0
40189.33000,0
40189.34000,0
40189.35000,0
40189.36000,0
40189.37000,0
40189.38000,0
40189.39000,0
40189.40000,0
40189.41000,0
40189.42000,0
40189.43000,0
40189.44000,0
40189.45000,0
40189.46000,0
40189.47000,0
40189.48000,0
40189.49000,0
40189.50000,0
40189.51000,0
40189.52000,0
40189.53000,0
40189.54000,0
40189.55000,0
40189.56000,0
40189.57000,0
40189.58000,0
40189.59000,0
40189.60000,0
40189.61000,0
40189.62000,0
40189.63000,0
40189.64000,0
40189.65000,0
40189.66000,0
40189.67000,0
40189.68000,0
40189.69000,0
40189.70000,0
40189.71000,0
40189.72000,0
40189.73000,0
40189.74000,0
40189.75000,0
40189.76000,0
40189.77000,0
40189.78000,0
40189.79000,0
40189.80000,0
40189.81000,0
40189.82000,0
40189.83000,0
40189.84000,0
40189.85000,0
40189.86000,0
40189.87000,0
40189.88000,0
40189.89000,0
40189.90000,0
40189.91000,0
40189.92000,0
40189.93000,0
40189.94000,0
40189.95000,0
40189.96000,0
40189.97000,0
40189.98000,0
40189.99000,0
40190.00000,0
40190.01000,0
40190.02000,0
40190.03000,0
40190.04000,0
40190.05000,0
40190.06000,0
40190.07000,0
40190.08000,0
40190.09000,0
40190.10000,0
40190.11000,0
40190.12000,0
40190.13000,0
40190.14000,0
40190.15000,0
40190.16000,0
40190.17000,0
40190.18000,0
40190.19000,0
40190.20000,0
40190.21000,0
40190.22000,0
40190.23000,0
40190.24000,0
40190.25000,0
40190.26000,0
40190.27000,0
40190.28000,0
40190.29000,0
40190.30000,0
40190.31000,0
40190.32000,0
40190.33000,0
40190.34000,0
40190.35000,0
40190.36000,0
40190.37000,0
40190.38000,0
40190.39000,0
40190.40000,0
40190.41000,0
40190.42000,0
40190.43000,0
40190.44000,0
40190.45000,0
40190.46000,0
40190.47000,0
40190.48000,0
40190.49000,0
40190.50000,0
40190.51000,0
40190.52000,0
40190.53000,0
40190.54000,0
40190.55000,0
40190.56000,0
40190.57000,0
40190.58000,0
40190.59000,0
40190.60000,0
40190.61000,0
40190.62000,0
40190.63000,0
40190.64000,0
40190.65000,0
40190.66000,0
40190.67000,0
40190.68000,0
40190.69000,0
40190.70000,0
40190.71000,0
40190.72000,0
40190.73000,0
40190.74000,0
40190.75000,0
40190.76000,0
40190.77000,0
40190.78000,0
40190.79000,0
40190.80000,0
40190.81000,0
40190.82000,0
40190.83000,0
40190.84000,0
40190.85000,0
40190.86000,0
40190.87000,0
40190.88000,0
40190.89000,0
40190.90000,0
40190.91000,0
40190.92000,0
40190.93000,0
40190.94000,0
40190.95000,0
40190.96000,0
40190.97000,0
40190.98000,0
40190.99000,0
40191.00000,0
40191.01000,0
40191.02000,0
40191.03000,0
40191.04000,0
40191.05000,0
40191.06000,0
40191.07000,0
40191.08000,0
40191.09000,0
40191.10000,0
40191.11000,0
40191.12000,0
40191.13000,0
40191.14000,0
40191.15000,0
40191.16000,0
40191.17000,0
40191.18000,0
40191.19000,0
40191.20000,0
40191.21000,0
40191.22000,0
40191.23000,0
40191.24000,0
40191.25000,0
40191.26000,0
40191.27000,0
40191.28000,0
40191.29000,0
40191.30000,0
40191.31000,0
40191.32000,0
40191.33000,0
40191.34000,0
40191.35000,0
40191.36000,0
40191.37000,0
40191.38000,0
40191.39000,0
40191.40000,0
40191.41000,0
40191.42000,0
40191.43000,0
40191.44000,0
40191.45000,0
40191.46000,0
40191.47000,0
40191.48000,0
40191.49000,0
40191.50000,0
40191.51000,0
40191.52000,0
40191.53000,0
40191.54000,0
40191.55000,0
40191.56000,0
40191.57000,0
40191.58000,0
40191.59000,0
40191.60000,0
40191.61000,0
40191.62000,0
40191.63000,0
40191.64000,0
40191.65000,0
40191.66000,0
40191.67000,0
40191.68000,0
40191.69000,0
40191.70000,0
40191.71000,0
40191.72000,0
40191.73000,0
40191.74000,0
40191.75000,0
40191.76000,0
40191.77000,0
40191.78000,0
40191.79000,0
40191.80000,0
40191.81000,0
40191.82000,0
40191.83000,0
40191.84000,0
40191.85000,0
40191.86000,0
40191.87000,0
40191.88000,0
40191.89000,0
40191.90000,0
40191.91000,0
40191.92000,0
40191.93000,0
40191.94000,0
40191.95000,0
40191.96000,0
40191.97000,0
40191.98000,0
40191.99000,0
40192.00000,0
40192.01000,0
40192.02000,0
40192.03000,0
40192.04000,0
40192.05000,0
40192.06000,0
40192.07000,0
40192.08000,0
40192.09000,0
40192.10000,0
40192.11000,0
40192.12000,0
40192.13000,0
40192.14000,0
40192.15000,0
40192.16000,0
40192.17000,0
40192.18000,0
40192.19000,0
40192.20000,0
40192.21000,0
40192.22000,0
40192.23000,0
40192.24000,0
40192.25000,0
40192.26000,0
40192.27000,0
40192.28000,0
40192.29000,0
40192.30000,0
40192.31000,0
40192.32000,0
40192.33000,0
40192.34000,0
40192.35000,0
40192.36000,0
40192.37000,0
40192.38000,0
40192.39000,0
40192.40000,0
40192.41000,0
40192.42000,0
40192.43000,0
40192.44000,0
40192.45000,0
40192.46000,0
40192.47000,0
40192.48000,0
40192.49000,0
40192.50000,0
40192.51000,0
40192.52000,0
40192.53000,0
40192.54000,0
40192.55000,0
40192.56000,0
40192.57000,0
40192.58000,0
40192.59000,0
40192.60000,0
40192.61000,0
40192.62000,0
40192.63000,0
40192.64000,0
40192.65000,0
40192.66000,0
40192.67000,0
40192.68000,0
40192.69000,0
40192.70000,0
40192.71000,0
40192.72000,0
40192.73000,0
40192.74000,0
40192.75000,0
40192.76000,0
40192.77000,0
40192.78000,0
40192.79000,0
40192.80000,0
40192.81000,0
40192.82000,0
40192.83000,0
40192.84000,0
40192.85000,0
40192.86000,0
40192.87000,0
40192.88000,0
40192.89000,0
40192.90000,0
40192.91000,0
40192.92000,0
40192.93000,0
40192.94000,0
40192.95000,0
40192.96000,0
40192.97000,0
40192.98000,0
40192.99000,0
40193.00000,0
40193.01000,0
40193.02000,0
40193.03000,0
40193.04000,0
40193.05000,0
40193.06000,0
40193.07000,0
40193.08000,0
40193.09000,0
40193.10000,0
40193.11000,0
40193.12000,0
40193.13000,0
40193.14000,0
40193.15000,0
40193.16000,0
40193.17000,0
40193.18000,0
40193.19000,0
40193.20000,0
40193.21000,0
40193.22000,0
40193.23000,0
40193.24000,0
40193.25000,0
40193.26000,0
40193.27000,0
40193.28000,0
40193.29000,0
40193.30000,0
40193.31000,0
40193.32000,0
40193.33000,0
40193.34000,0
40193.35000,0
40193.36000,0
40193.37000,0
40193.38000,0
40193.39000,0
40193.40000,0
40193.41000,0
40193.42000,0
40193.43000,0
40193.44000,0
40193.45000,0
40193.46000,0
40193.47000,0
40193.48000,0
40193.49000,0
40193.50000,0
40193.51000,0
40193.52000,0
40193.53000,0
40193.54000,0
40193.55000,0
40193.56000,0
40193.57000,0
40193.58000,0
40193.59000,0
40193.60000,0
40193.61000,0
40193.62000,0
40193.63000,0
40193.64000,0
40193.65000,0
40193.66000,0
40193.67000,0
40193.68000,0
40193.69000,0
40193.70000,0
40193.71000,0
40193.72000,0
40193.73000,0
40193.74000,0
40193.75000,0
40193.76000,0
40193.77000,0
40193.78000,0
40193.79000,0
40193.80000,0
40193.81000,0
40193.82000,0
40193.83000,0
40193.84000,0
40193.85000,0
40193.86000,0
40193.87000,0
40193.88000,0
40193.89000,0
40193.90000,0
40193.91000,0
40193.92000,0
40193.93000,0
40193.94000,0
40193.95000,0
40193.96000,0
40193.97000,0
40193.98000,0
40193.99000,0
40194.00000,0
40194.01000,0
40194.02000,0
40194.03000,0
40194.04000,0
40194.05000,0
40194.06000,0
40194.07000,0
40194.08000,0
40194.09000,0
40194.10000,0
40194.11000,0
40194.12000,0
40194.13000,0
40194.14000,0
40194.15000,0
40194.16000,0
40194.17000,0
40194.18000,0
40194.19000,0
40194.20000,0
40194.21000,0
40194.22000,0
40194.23000,0
40194.24000,0
40194.25000,0
40194.26000,0
40194.27000,0
40194.28000,0
40194.29000,0
40194.30000,0
40194.31000,0
40194.32000,0
40194.33000,0
40194.34000,0
40194.35000,0
40194.36000,0
40194.37000,0
40194.38000,0
40194.39000,0
40194.40000,0
40194.41000,0
40194.42000,0
40194.43000,0
40194.44000,0
40194.45000,0
40194.46000,0
40194.47000,0
40194.48000,0
40194.49000,0
40194.50000,0
40194.51000,0
40194.52000,0
40194.53000,0
40194.54000,0
40194.55000,0
40194.56000,0
40194.57000,0
40194.58000,0
40194.59000,0
40194.60000,0
40194.61000,0
40194.62000,0
40194.63000,0
40194.64000,0
40194.65000,0
40194.66000,0
40194.67000,0
40194.68000,0
40194.69000,0
40194.70000,0
40194.71000,0
40194.72000,0
40194.73000,0
40194.74000,0
40194.75000,0
40194.76000,0
40194.77000,0
40194.78000,0
40194.79000,0
40194.80000,0
40194.81000,0
40194.82000,0
40194.83000,0
40194.84000,0
40194.85000,0
40194.86000,0
40194.87000,0
40194.88000,0
40194.89000,0
40194.90000,0
40194.91000,0
40194.92000,0
40194.93000,0
40194.94000,0
40194.95000,0
40194.96000,0
40194.97000,0
40194.98000,0
40194.99000,0
40195.00000,0
40195.01000,0
40195.02000,0
40195.03000,0
40195.04000,0
40195.05000,0
40195.06000,0
40195.07000,0
40195.08000,0
40195.09000,0
40195.10000,0
40195.11000,0
40195.12000,0
40195.13000,0
40195.14000,0
40195.15000,0
40195.16000,0
40195.17000,0
40195.18000,0
40195.19000,0
40195.20000,0
40195.21000,0
40195.22000,0
40195.23000,0
40195.24000,0
40195.25000,0
40195.26000,0
40195.27000,0
40195.28000,0
40195.29000,0
40195.30000,0
40195.31000,0
40195.32000,0
40195.33000,0
40195.34000,0
40195.35000,0
40195.36000,0
40195.37000,0
40195.38000,0
40195.39000,0
40195.40000,0
40195.41000,0
40195.42000,0
40195.43000,0
40195.44000,0
40195.45000,0
40195.46000,0
40195.47000,0
40195.48000,0
40195.49000,0
40195.50000,0
40195.51000,0
40195.52000,0
40195.53000,5.20358e-09
40195.54000,1.02168
40195.55000,4.45011
40195.56000,9.2219
40195.57000,14.4883
40195.58000,19.7725
40195.59000,24.719
40195.60000,29.0799
40195.61000,40.593
40195.62000,41.3082
40195.63000,42.0234
40195.64000,42.7387
40195.65000,43.4539
40195.66000,45.9097
40195.67000,47.9173
40195.68000,49.45
40195.69000,49.2621
40195.70000,49.2846
40195.71000,49.3071
40195.72000,49.3295
40195.73000,49.352
40195.74000,49.3744
40195.75000,49.3969
40195.76000,49.4194
40195.77000,49.4418
40195.78000,49.4643
40195.79000,50.0096
40195.80000,51.0829
40195.81000,52.8959
40195.82000,55.0488
40195.83000,57.1537
40195.84000,58.9431
40195.85000,60.2094
40195.86000,57.8529
40195.87000,57.1484
40195.88000,56.444
40195.89000,55.7395
40195.90000,55.035
40195.91000,54.3306
40195.92000,53.6261
40195.93000,52.9217
40195.94000,52.2172
40195.95000,51.5127
40195.96000,50.8083
40195.97000,50.1069
40195.98000,49.4055
40195.99000,48.7042
40196.00000,48.0028
40196.01000,47.3014
40196.02000,46.6
40196.03000,45.8987
40196.04000,45.1973
